actual_user_id,anon_user_id,assigned_user_id,email,username
12027375,cddca5fe4fb36b45863d97a8310d8fb2,38257857,chrisvle@berkeley.edu,ibtracie
12027376,cddca5fe4fb36b45863d97a8310d8fb1,38257857,chrisvle@berkeley.edu,ibtracie
12027377,cddca5fe4fb36b45863d97a8310d8fb0,38257857,chrisvle@berkeley.edu,ibtracie
12027378,cddca5fe4fb36b45863d97a8310d8fb4,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb5,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb6,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb7,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb8,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb9,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb11,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb10,38257857,chrisvle@berkeley.edu,ibtracie
12027375,cddca5fe4fb36b45863d97a8310d8fb3,38257857,chrisvle@berkeley.edu,ibtracie
